State,County,FIPSCODE,percent
Alabama,Autauga County,05000US01001,13
Alabama,Baldwin County,05000US01003,10.4
Alabama,Barbour County,05000US01005,18.4
Alabama,Bibb County,05000US01007,14.8
Alabama,Blount County,05000US01009,14.1
Alabama,Bullock County,05000US01011,19.6
Alabama,Butler County,05000US01013,17.7
Alabama,Calhoun County,05000US01015,14.9
Alabama,Chambers County,05000US01017,16.4
Alabama,Cherokee County,05000US01019,13.3
Alabama,Chilton County,05000US01021,13.3
Alabama,Choctaw County,05000US01023,18.1
Alabama,Clarke County,05000US01025,16.3
Alabama,Clay County,05000US01027,14.6
Alabama,Cleburne County,05000US01029,12.6
Alabama,Coffee County,05000US01031,15.9
Alabama,Colbert County,05000US01033,18.7
Alabama,Conecuh County,05000US01035,17.4
Alabama,Coosa County,05000US01037,17.3
Alabama,Covington County,05000US01039,14.7
Alabama,Crenshaw County,05000US01041,16.5
Alabama,Cullman County,05000US01043,14.4
Alabama,Dale County,05000US01045,14.1
Alabama,Dallas County,05000US01047,19
Alabama,DeKalb County,05000US01049,13.4
Alabama,Elmore County,05000US01051,13.4
Alabama,Escambia County,05000US01053,17.8
Alabama,Etowah County,05000US01055,16.8
Alabama,Fayette County,05000US01057,15.1
Alabama,Franklin County,05000US01059,13.9
Alabama,Geneva County,05000US01061,13.9
Alabama,Greene County,05000US01063,21
Alabama,Hale County,05000US01065,16
Alabama,Henry County,05000US01067,18.7
Alabama,Houston County,05000US01069,13.7
Alabama,Jackson County,05000US01071,14.9
Alabama,Jefferson County,05000US01073,13
Alabama,Lamar County,05000US01075,14.9
Alabama,Lauderdale County,05000US01077,14.2
Alabama,Lawrence County,05000US01079,15.6
Alabama,Lee County,05000US01081,9.5
Alabama,Limestone County,05000US01083,12.6
Alabama,Lowndes County,05000US01085,23.5
Alabama,Macon County,05000US01087,18.4
Alabama,Madison County,05000US01089,11.5
Alabama,Marengo County,05000US01091,20.2
Alabama,Marion County,05000US01093,18.7
Alabama,Marshall County,05000US01095,12.8
Alabama,Mobile County,05000US01097,15.6
Alabama,Monroe County,05000US01099,17.8
Alabama,Montgomery County,05000US01101,13.5
Alabama,Morgan County,05000US01103,12.6
Alabama,Perry County,05000US01105,21.7
Alabama,Pickens County,05000US01107,16.4
Alabama,Pike County,05000US01109,13.5
Alabama,Randolph County,05000US01111,14.9
Alabama,Russell County,05000US01113,12.9
Alabama,St. Clair County,05000US01115,12.8
Alabama,Shelby County,05000US01117,8.7
Alabama,Sumter County,05000US01119,20.1
Alabama,Talladega County,05000US01121,15.3
Alabama,Tallapoosa County,05000US01123,13.7
Alabama,Tuscaloosa County,05000US01125,12.3
Alabama,Walker County,05000US01127,16.7
Alabama,Washington County,05000US01129,17.8
Alabama,Wilcox County,05000US01131,19.3
Alabama,Winston County,05000US01133,13.2
Alaska,Aleutians East Borough,05000US02013,7.6
Alaska,Aleutians West,05000US02016,6.2
Alaska,Anchorage Municipality,05000US02020,7
Alaska,Bethel Census Area,05000US02050,5.8
Alaska,Bristol Bay Borough,05000US02060,8.5
Alaska,Denali Borough,05000US02068,5.8
Alaska,Dillingham Census Area,05000US02070,7.2
Alaska,Fairbanks North Star,05000US02090,5.5
Alaska,Haines Borough,05000US02100,7.9
Alaska,Hoonah-Angoon 2009 Census,05000US02105,7.3
Alaska,Juneau City and Borough,05000US02110,5.9
